#,Country,Cases in the last 7 days,Cases in the preceding  7 days,Weekly Case % Change,Cases in the last 7 days/1M pop,Deaths in the last 7 days,Deaths in the preceding 7 days,Weekly Death % Change,Deaths in the last 7 days/1M pop,Weekly Case Change,Weekly Case Change/1M pop,Weekly Deaths Change,Weekly Deaths Change/1M pop,Population,Continent
190,Sao Tome and Principe,1,6,-83%,4,0,0,0%,0,-5,-22,0,0,227679,Africa
193,Serbia,933,1253,-26%,108,3,4,-25%,0.3,-320,-37,-1,-0.1,8653016,Europe
4,Singapore,0,14851,-100%,0,0,0,0%,0,-14851,-2499,0,0,5943546,Asia
197,Slovakia,43,69,-38%,8,0,0,0%,0,-26,-5,0,0,5460193,Europe
198,Slovenia,94,170,-45%,45,0,0,0%,0,-76,-37,0,0,2078034,Europe
27,Spain,7973,11165,-29%,171,70,103,-32%,1,-3192,-68,-33,-0.7,46719142,Europe
25,Sri Lanka,46,73,-37%,2,5,5,0%,0.2,-27,-1,0,0,21575842,Asia
181,St-Barthélemy,0,8,-100%,0,0,0,0%,0,-8,-804,0,0,9945,North America
26,Sweden,0,613,-100%,0,0,20,-100%,0,-613,-60,-20,-2,10218971,Europe
207,Switzerland,505,514,-2%,58,0,0,0%,0,-9,-1,0,0,8773637,Europe
208,Syria,0,13,-100%,0,0,0,0%,0,-13,-0.7,0,0,19364809,Asia
2,Thailand,0,2632,-100%,0,0,64,-100%,0,-2632,-38,-64,-0.9,70078203,Asia
211,Timor-Leste,6,1,+500%,4,0,0,0%,0,5,4,0,0,1369429,Asia
212,Togo,2,6,-67%,0.2,0,0,0%,0,-4,-0.5,0,0,8680837,Africa
216,Tunisia,62,100,-38%,5,5,3,+67%,0.4,-38,-3,2,0.2,12046656,Africa
15,United Arab Emirates,0,389,-100%,0,0,0,0%,0,-389,-39,0,0,10081785,Asia
18,United Kingdom,0,3456,-100%,0,0,0,0%,0,-3456,-50,0,0,68497907,Europe
222,Ukraine,0,3323,-100%,0,0,37,-100%,0,-3323,-77,-37,-0.9,43192122,Europe
11,United States of America,18791,37617,-50%,56,140,429,-67%,0.4,-18826,-56,-289,-0.9,334805269,North America
223,Uruguay,0,287,-100%,0,0,4,-100%,0,-287,-82,-4,-1,3496016,South America
224,Uzbekistan,0,136,-100%,0,0,0,0%,0,-136,-4,0,0,34382084,Asia
225,Vanuatu,3,0,+300%,9,0,0,0%,0,3,9,0,0,321832,Australia/Oceania
14,Vietnam,5173,7140,-28%,52,0,3,-100%,0,-1967,-20,-3,0,98953541,Asia
232,Zimbabwe,182,0,"+18,200%",12,5,0,+500%,0.3,182,12,5,0.3,15331428,Africa
